"id","first_name","last_name","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","player","Week","Year","GID","Name","Pos","Team","h.a","Oppt","DK.points","DK.salary"
"10703","Russell","Wilson","SEA","QB",33,8,"QB","average",188.861633333333,10,0.891683333333361,171.332775548731,19.53752,347.4616,1,"Russell Wilson","17","2020","1412","Wilson, Russell","QB","sea","a","sfo","18.14","7300"
"10723","Mohamed","Sanu","DET","WR",32,8,"WR","average",54.648,86,0.667374999999993,61.3888113665674,3.4958,122.3335,2,"Mohamed Sanu","17","2020","5159","Sanu, Mohamed","WR","det","h","min","3.6","3000"
"10729","T.Y.","Hilton","IND","WR",32,8,"WR","average",99.64775,49,4.35266666666666,103.584818000757,9.75735,198.595,2,"T.Y. Hilton","17","2020","5151","Hilton, T.Y.","WR","ind","h","jac","13.7","5800"
"10738","Marvin","Jones","DET","WR",31,8,"WR","average",131.4958,28,1.04685000000001,111.901877389077,11.1872,231.88,1,"Marvin Jones","17","2020","5168","Jones, Marvin","WR","det","h","min","41","5100"
"10870","Alfred","Morris","NYG","RB",33,8,"RB","average",2.51,127,0.15875,NA,2.51,2.51,3,"Alfred Morris","17","2020","2871","Morris, Alfred","RB","nyg","h","dal","1.2","4000"
"10940","Derek","Carrier","LVR","TE",31,8,"TE","average",23.507,67,0.399249999999999,30.6129703883828,0.2612,59.483,2,"Derek Carrier","17","2020","4599","Carrier, Derek","TE","lvr","a","den","0","2500"
"11151","Matt","Barkley","BUF","QB",31,7,"QB","average",0.533,75,0.382,NA,0.533,0.533,5,"Matt Barkley","17","2020","1417","Barkley, Matt","QB","buf","h","mia","9.26","4800"
"11152","Mike","Glennon","JAC","QB",32,7,"QB","average",10.3826666666667,45,0.971666666666668,3.85303274490801,7.2332,14.066,3,"Mike Glennon","17","2020","1420","Glennon, Mike","QB","jac","a","ind","17.64","4900"
"11188","Theo","Riddick","LVR","RB",30,7,"RB","average",4.84566666666667,112,0.208166666666666,7.72182079132463,0.1853,12.518,3,"Theo Riddick","17","2020","2907","Riddick, Theo","RB","lvr","a","den","8","4000"
"11193","Giovani","Bernard","CIN","RB",30,7,"RB","average",59.96725,50,0.484833333333334,63.8400533384019,4.71265,130.492,2,"Giovani Bernard","17","2020","2889","Bernard, Giovani","RB","cin","h","bal","0.7","5400"
"11213","Tavon","Austin","GBP","WR",30,7,"WR","average",0.8,158,0.0487500000000001,NA,0.8,0.8,4,"Tavon Austin","17","2020","5199","Austin, Tavon","WR","gnb","a","chi","0.7","3000"
"11225","Cordarrelle","Patterson","CHI","WR",30,7,"WR","average",4.07,131,0.17,NA,4.07,4.07,3,"Cordarrelle Patterson","17","2020","5208","Patterson, Cordarrelle","WR","chi","h","gnb","1.8","3000"
"11225","Cordarrelle","Patterson","CHI","WR",30,7,"RB","average",35.276,72,0.357791666666664,45.1756380364461,6.6264,64.1256,2,"Cordarrelle Patterson","17","2020","5208","Patterson, Cordarrelle","WR","chi","h","gnb","1.8","3000"
"11228","Robert","Woods","LAR","WR",29,7,"WR","average",160.129866666667,13,1.69903333333332,132.899929276881,14.7004,278.23,1,"Robert Woods","17","2020","5217","Woods, Robert","WR","lar","h","ari","7.6","6300"
